Change Component Footprint: Designator=J1 Old Footprint=694106301002 New Footprint=694106301002
Change Component Footprint: Designator=R4 Old Footprint=FP-RC0402-0_4-MFG New Footprint=FP-RC0402-0_4-MFG
Change Component Footprint: Designator=R5 Old Footprint=FP-RC0402-0_4-MFG New Footprint=FP-RC0402-0_4-MFG
Change Component Footprint: Designator=R8 Old Footprint=FP-RC0402-0_4-MFG New Footprint=FP-RC0402-0_4-MFG
Change Component Footprint: Designator=R9 Old Footprint=FP-RC0402-0_4-MFG New Footprint=FP-RC0402-0_4-MFG
Change Component Footprint: Designator=R18 Old Footprint=FP-RC0402-0_4-MFG New Footprint=FP-RC0402-0_4-MFG
Change Component Footprint: Designator=R19 Old Footprint=FP-RC0402-0_4-MFG New Footprint=FP-RC0402-0_4-MFG
Change Component Footprint: Designator=R24 Old Footprint=FP-RC0402-0_4-MFG New Footprint=FP-RC0402-0_4-MFG
Change Component Footprint: Designator=R25 Old Footprint=FP-RC0402-0_4-MFG New Footprint=FP-RC0402-0_4-MFG
Add Component: Footprint Not Found MODULE_SM-K26-XCL2GI
Add Pin To Net: Unknown Pin: Pin U5-A01
Add Pin To Net: Unknown Pin: Pin U5-A02
Add Pin To Net: Unknown Pin: Pin U5-A03
Add Pin To Net: Unknown Pin: Pin U5-A04
Add Pin To Net: Unknown Pin: Pin U5-A05
Add Pin To Net: Unknown Pin: Pin U5-A06
Add Pin To Net: Unknown Pin: Pin U5-A07
Add Pin To Net: Unknown Pin: Pin U5-A08
Add Pin To Net: Unknown Pin: Pin U5-A09
Add Pin To Net: Unknown Pin: Pin U5-A10
Add Pin To Net: Unknown Pin: Pin U5-A11
Add Pin To Net: Unknown Pin: Pin U5-A12
Add Pin To Net: Unknown Pin: Pin U5-A13
Add Pin To Net: Unknown Pin: Pin U5-A14
Add Pin To Net: Unknown Pin: Pin U5-A15
Add Pin To Net: Unknown Pin: Pin U5-A16
Add Pin To Net: Unknown Pin: Pin U5-A17
Add Pin To Net: Unknown Pin: Pin U5-A18
Add Pin To Net: Unknown Pin: Pin U5-A20
Add Pin To Net: Unknown Pin: Pin U5-A21
Add Pin To Net: Unknown Pin: Pin U5-A22
Add Pin To Net: Unknown Pin: Pin U5-A23
Add Pin To Net: Unknown Pin: Pin U5-A24
Add Pin To Net: Unknown Pin: Pin U5-A25
Add Pin To Net: Unknown Pin: Pin U5-A26
Add Pin To Net: Unknown Pin: Pin U5-A27
Add Pin To Net: Unknown Pin: Pin U5-A28
Add Pin To Net: Unknown Pin: Pin U5-A29
Add Pin To Net: Unknown Pin: Pin U5-A30
Add Pin To Net: Unknown Pin: Pin U5-A33
Add Pin To Net: Unknown Pin: Pin U5-A37
Add Pin To Net: Unknown Pin: Pin U5-A41
Add Pin To Net: Unknown Pin: Pin U5-A45
Add Pin To Net: Unknown Pin: Pin U5-A46
Add Pin To Net: Unknown Pin: Pin U5-A49
Add Pin To Net: Unknown Pin: Pin U5-A50
Add Pin To Net: Unknown Pin: Pin U5-A53
Add Pin To Net: Unknown Pin: Pin U5-A54
Add Pin To Net: Unknown Pin: Pin U5-A57
Add Pin To Net: Unknown Pin: Pin U5-A58
Add Pin To Net: Unknown Pin: Pin U5-A59
